iso_code,country,date,yougov_social_impact_fears
ARE,United Arab Emirates,2020-05-11,81
ARE,United Arab Emirates,2020-05-18,81
ARE,United Arab Emirates,2020-05-25,79
ARE,United Arab Emirates,2020-06-01,77
ARE,United Arab Emirates,2020-06-08,79
ARE,United Arab Emirates,2020-06-15,76
ARE,United Arab Emirates,2020-06-22,76
ARE,United Arab Emirates,2020-06-29,78
AUS,Australia,2020-05-11,71
AUS,Australia,2020-05-18,73
AUS,Australia,2020-05-25,72
AUS,Australia,2020-06-01,72
AUS,Australia,2020-06-08,70
AUS,Australia,2020-06-15,69
AUS,Australia,2020-06-22,72
AUS,Australia,2020-06-29,75
CAN,Canada,2020-05-12,75
CAN,Canada,2020-05-19,75
CAN,Canada,2020-05-26,75
CAN,Canada,2020-06-02,77
CAN,Canada,2020-06-09,74
CAN,Canada,2020-06-16,73
CAN,Canada,2020-06-23,75
CAN,Canada,2020-06-30,73
CHN,China,2020-05-12,60
CHN,China,2020-05-19,65
CHN,China,2020-05-26,61
CHN,China,2020-06-02,63
CHN,China,2020-06-09,59
CHN,China,2020-06-16,64
CHN,China,2020-06-23,65
CHN,China,2020-06-30,61
DEU,Germany,2020-05-11,72
DEU,Germany,2020-05-19,73
DEU,Germany,2020-05-26,72
DEU,Germany,2020-06-02,69
DEU,Germany,2020-06-09,68
DEU,Germany,2020-06-16,68
DEU,Germany,2020-06-23,68
DEU,Germany,2020-06-30,72
DNK,Denmark,2020-05-11,77
DNK,Denmark,2020-05-15,73
DNK,Denmark,2020-05-22,71
DNK,Denmark,2020-05-28,73
DNK,Denmark,2020-06-04,72
DNK,Denmark,2020-06-11,66
DNK,Denmark,2020-06-18,64
DNK,Denmark,2020-06-25,69
ESP,Spain,2020-05-07,88
ESP,Spain,2020-05-14,91
ESP,Spain,2020-05-21,89
ESP,Spain,2020-05-28,87
ESP,Spain,2020-06-04,86
ESP,Spain,2020-06-11,87
ESP,Spain,2020-06-18,87
ESP,Spain,2020-06-25,88
FIN,Finland,2020-05-11,78
FIN,Finland,2020-05-15,82
FIN,Finland,2020-05-22,77
FIN,Finland,2020-05-28,76
FIN,Finland,2020-06-04,74
FIN,Finland,2020-06-11,75
FIN,Finland,2020-06-18,75
FIN,Finland,2020-06-25,70
FRA,France,2020-05-08,81
FRA,France,2020-05-15,81
FRA,France,2020-05-22,79
FRA,France,2020-05-29,79
FRA,France,2020-06-05,78
FRA,France,2020-06-12,80
FRA,France,2020-06-19,80
FRA,France,2020-06-26,79
GBR,United Kingdom,2020-05-08,73
GBR,United Kingdom,2020-05-15,76
GBR,United Kingdom,2020-05-22,74
GBR,United Kingdom,2020-05-29,73
GBR,United Kingdom,2020-06-05,74
GBR,United Kingdom,2020-06-12,76
GBR,United Kingdom,2020-06-19,73
GBR,United Kingdom,2020-06-26,74
HKG,Hong Kong SAR China,2020-05-12,74
HKG,Hong Kong SAR China,2020-05-19,75
HKG,Hong Kong SAR China,2020-05-26,75
HKG,Hong Kong SAR China,2020-06-02,76
HKG,Hong Kong SAR China,2020-06-09,74
HKG,Hong Kong SAR China,2020-06-16,73
HKG,Hong Kong SAR China,2020-06-23,72
HKG,Hong Kong SAR China,2020-06-30,73
IDN,Indonesia,2020-05-11,91
IDN,Indonesia,2020-05-18,90
IDN,Indonesia,2020-05-25,91
IDN,Indonesia,2020-06-01,91
IDN,Indonesia,2020-06-08,91
IDN,Indonesia,2020-06-15,90
IDN,Indonesia,2020-06-22,90
IDN,Indonesia,2020-06-29,91
IND,India,2020-05-11,73
IND,India,2020-05-18,72
IND,India,2020-05-25,73
IND,India,2020-06-01,76
IND,India,2020-06-08,76
IND,India,2020-06-15,77
IND,India,2020-06-22,75
IND,India,2020-06-29,77
ITA,Italy,2020-05-08,88
ITA,Italy,2020-05-15,90
ITA,Italy,2020-05-22,88
ITA,Italy,2020-05-29,88
ITA,Italy,2020-06-03,85
ITA,Italy,2020-06-10,87
ITA,Italy,2020-06-17,86
ITA,Italy,2020-06-24,84
MEX,Mexico,2020-05-12,82
MEX,Mexico,2020-05-19,80
MEX,Mexico,2020-05-26,85
MEX,Mexico,2020-06-02,83
MEX,Mexico,2020-06-09,86
MEX,Mexico,2020-06-16,85
MEX,Mexico,2020-06-23,87
MEX,Mexico,2020-06-30,87
MYS,Malaysia,2020-05-11,90
MYS,Malaysia,2020-05-18,89
MYS,Malaysia,2020-05-25,87
MYS,Malaysia,2020-06-01,87
MYS,Malaysia,2020-06-08,85
MYS,Malaysia,2020-06-15,86
MYS,Malaysia,2020-06-22,85
MYS,Malaysia,2020-06-29,84
NOR,Norway,2020-05-11,72
NOR,Norway,2020-05-15,77
NOR,Norway,2020-05-22,69
NOR,Norway,2020-05-29,67
NOR,Norway,2020-06-05,71
NOR,Norway,2020-06-12,70
NOR,Norway,2020-06-19,71
NOR,Norway,2020-06-26,66
PHL,Philippines,2020-05-11,86
PHL,Philippines,2020-05-18,84
PHL,Philippines,2020-05-25,86
PHL,Philippines,2020-06-01,88
PHL,Philippines,2020-06-08,88
PHL,Philippines,2020-06-15,88
PHL,Philippines,2020-06-22,89
PHL,Philippines,2020-06-29,85
POL,Poland,2020-05-12,75
POL,Poland,2020-05-19,73
POL,Poland,2020-05-26,70
POL,Poland,2020-06-02,70
POL,Poland,2020-06-09,68
POL,Poland,2020-06-16,70
POL,Poland,2020-06-23,69
POL,Poland,2020-06-30,69
SAU,Saudi Arabia,2020-05-11,67
SAU,Saudi Arabia,2020-05-18,67
SAU,Saudi Arabia,2020-05-25,64
SAU,Saudi Arabia,2020-06-01,62
SAU,Saudi Arabia,2020-06-08,65
SAU,Saudi Arabia,2020-06-15,68
SAU,Saudi Arabia,2020-06-22,65
SAU,Saudi Arabia,2020-06-29,61
SGP,Singapore,2020-05-08,80
SGP,Singapore,2020-05-15,81
SGP,Singapore,2020-05-22,80
SGP,Singapore,2020-05-29,82
SGP,Singapore,2020-06-05,80
SGP,Singapore,2020-06-12,83
SGP,Singapore,2020-06-19,80
SGP,Singapore,2020-06-26,82
SWE,Sweden,2020-05-11,81
SWE,Sweden,2020-05-15,82
SWE,Sweden,2020-05-22,82
SWE,Sweden,2020-05-29,81
SWE,Sweden,2020-06-05,78
SWE,Sweden,2020-06-12,77
SWE,Sweden,2020-06-19,78
SWE,Sweden,2020-06-26,77
THA,Thailand,2020-05-11,87
THA,Thailand,2020-05-18,84
THA,Thailand,2020-05-25,86
THA,Thailand,2020-06-01,85
THA,Thailand,2020-06-08,84
THA,Thailand,2020-06-15,82
THA,Thailand,2020-06-22,83
THA,Thailand,2020-06-29,84
TWN,Taiwan,2020-05-12,64
TWN,Taiwan,2020-05-19,63
TWN,Taiwan,2020-05-26,62
TWN,Taiwan,2020-06-02,62
TWN,Taiwan,2020-06-09,59
TWN,Taiwan,2020-06-16,61
TWN,Taiwan,2020-06-23,60
TWN,Taiwan,2020-06-30,62
USA,United States,2020-05-12,71
USA,United States,2020-05-19,73
USA,United States,2020-05-26,70
USA,United States,2020-06-02,69
USA,United States,2020-06-09,70
USA,United States,2020-06-16,66
USA,United States,2020-06-23,71
USA,United States,2020-06-30,72
VNM,Vietnam,2020-05-12,78
VNM,Vietnam,2020-05-19,78
VNM,Vietnam,2020-05-26,77
VNM,Vietnam,2020-06-02,78
VNM,Vietnam,2020-06-09,76
VNM,Vietnam,2020-06-16,75
VNM,Vietnam,2020-06-23,76
VNM,Vietnam,2020-06-30,78
