iso_code,country,date,yougov_support_quarantine_chinese_travellers
AUS,Australia,2020-03-08,31
AUS,Australia,2020-03-15,35
CAN,Canada,2020-03-17,31
CAN,Canada,2020-03-23,41
CAN,Canada,2020-03-30,40
CAN,Canada,2020-04-06,41
CAN,Canada,2020-04-13,30
DEU,Germany,2020-03-04,20
DEU,Germany,2020-03-16,31
DEU,Germany,2020-03-23,42
DEU,Germany,2020-03-30,36
ESP,Spain,2020-03-12,38
ESP,Spain,2020-03-19,56
ESP,Spain,2020-03-25,55
ESP,Spain,2020-04-02,52
ESP,Spain,2020-04-08,54
ESP,Spain,2020-04-16,51
ESP,Spain,2020-04-23,51
ESP,Spain,2020-04-30,47
FRA,France,2020-03-10,25
FRA,France,2020-03-13,26
FRA,France,2020-03-20,41
FRA,France,2020-03-27,45
GBR,United Kingdom,2020-03-01,19
GBR,United Kingdom,2020-03-13,19
GBR,United Kingdom,2020-03-20,25
GBR,United Kingdom,2020-03-27,32
GBR,United Kingdom,2020-04-14,31
GBR,United Kingdom,2020-04-17,30
GBR,United Kingdom,2020-04-24,28
GBR,United Kingdom,2020-05-01,27
HKG,Hong Kong SAR China,2020-02-25,50
HKG,Hong Kong SAR China,2020-03-03,46
HKG,Hong Kong SAR China,2020-03-10,40
HKG,Hong Kong SAR China,2020-03-17,44
HKG,Hong Kong SAR China,2020-03-24,48
HKG,Hong Kong SAR China,2020-03-31,46
IDN,Indonesia,2020-02-24,37
IDN,Indonesia,2020-03-02,38
IDN,Indonesia,2020-03-09,35
IDN,Indonesia,2020-03-16,38
IDN,Indonesia,2020-03-23,45
IDN,Indonesia,2020-03-30,49
IND,India,2020-03-16,51
IND,India,2020-03-20,53
IND,India,2020-03-27,63
IND,India,2020-04-03,63
ITA,Italy,2020-03-11,22
ITA,Italy,2020-03-19,25
ITA,Italy,2020-03-25,21
ITA,Italy,2020-04-03,22
JPN,Japan,2020-03-17,22
JPN,Japan,2020-03-24,24
JPN,Japan,2020-03-30,26
MEX,Mexico,2020-03-17,28
MEX,Mexico,2020-03-23,33
MEX,Mexico,2020-03-30,35
MEX,Mexico,2020-04-06,34
MYS,Malaysia,2020-02-24,35
MYS,Malaysia,2020-03-02,44
MYS,Malaysia,2020-03-09,46
MYS,Malaysia,2020-03-16,53
MYS,Malaysia,2020-03-23,56
MYS,Malaysia,2020-03-30,53
PHL,Philippines,2020-02-24,46
PHL,Philippines,2020-03-02,38
PHL,Philippines,2020-03-09,38
PHL,Philippines,2020-03-16,47
PHL,Philippines,2020-03-23,53
PHL,Philippines,2020-03-30,57
SGP,Singapore,2020-02-21,39
SGP,Singapore,2020-02-28,31
SGP,Singapore,2020-03-06,29
SGP,Singapore,2020-03-13,23
SGP,Singapore,2020-03-20,28
SGP,Singapore,2020-03-27,27
THA,Thailand,2020-02-24,34
THA,Thailand,2020-03-02,34
THA,Thailand,2020-03-09,38
THA,Thailand,2020-03-16,35
THA,Thailand,2020-03-23,42
THA,Thailand,2020-03-30,47
TWN,Taiwan,2020-02-25,31
TWN,Taiwan,2020-03-03,34
TWN,Taiwan,2020-03-10,31
TWN,Taiwan,2020-03-17,29
TWN,Taiwan,2020-03-24,38
TWN,Taiwan,2020-03-31,38
USA,United States,2020-03-02,26
USA,United States,2020-03-17,30
USA,United States,2020-03-23,32
USA,United States,2020-03-30,38
USA,United States,2020-04-06,35
VNM,Vietnam,2020-03-30,56
VNM,Vietnam,2020-04-06,59
